x1,x2,label
2.996714,2.361736,0
3.147689,4.02303,0
2.265847,2.265863,0
4.079213,3.267435,0
2.030526,3.04256,0
2.036582,2.03427,0
2.741962,0.58672,0
0.775082,1.937712,0
1.487169,2.814247,0
1.591976,1.087696,0
3.965649,2.274224,0
2.567528,1.075252,0
1.955617,2.610923,0
1.349006,2.875698,0
1.899361,2.208306,0
1.898293,4.352278,0
2.486503,1.442289,0
3.322545,1.279156,0
2.708864,0.54033,0
1.171814,2.696861,0
3.238467,2.671368,0
2.384352,2.198896,0
1.021478,1.780156,0
2.039361,3.557122,0
2.843618,0.73696,0
2.824084,2.114918,0
1.823078,3.111676,0
3.531,3.43128,0
1.660782,2.190788,0
2.831263,3.475545,0
2.020826,2.314341,0
1.393665,1.303793,0
3.312526,3.85624,0
2.42799,3.503533,0
2.861636,1.85488,0
2.861396,4.038037,0
2.464174,4.064644,0
-0.119745,3.321903,0
2.587047,2.200993,0
2.591761,0.512431,0
2.280328,2.857113,0
3.977894,1.98173,0
1.691506,1.998243,0
3.415402,2.828751,0
1.97024,3.013267,0
2.597078,3.468645,0
1.797947,2.172338,0
2.107892,1.036485,0
2.79612,2.761055,0
2.505113,2.265413,0
1.084629,2.079355,0
2.157285,1.697723,0
2.338714,2.904051,0
4.386186,2.674578,0
2.75755,2.425554,0
0.581229,2.473486,0
2.56023,4.963242,0
2.307639,2.801547,0
2.465288,1.331322,0
3.642823,3.251933,0
3.291032,1.590613,0
3.902794,1.098149,0
3.086857,4.690456,0
1.509464,1.933702,0
2.599651,1.996524,0
0.949337,2.568563,0
1.437696,2.973592,0
1.580576,4.049934,0
1.716747,2.177938,0
3.313517,1.269136,0
2.72746,3.807143,0
0.892517,2.684634,0
2.759883,3.281823,0
1.263049,1.179543,0
3.021942,2.796985,0
2.750493,2.846448,0
1.819975,2.732254,0
2.793072,1.785649,0
4.365775,2.973833,0
1.308697,3.156554,0
1.525318,3.287085,0
3.658596,1.679318,0
3.463376,2.912781,0
3.32206,4.396793,0
2.254612,1.746264,0
1.610486,1.68419,0
2.422898,2.841152,0
2.776691,3.327183,0
2.513002,3.953534,0
2.235343,5.220169,0
3.125667,1.642842,0
1.429108,2.982472,0
2.276537,3.214,0
2.973238,2.427171,0
1.653206,0.985153,0
2.053485,3.356399,0
2.714094,1.254261,0
2.673181,2.885317,0
1.616143,2.653725,0
2.558209,1.35703,0
-2.142213,-1.939215,1
-1.416949,-1.446198,1
-3.877669,-3.437825,1
-1.984965,-1.986214,1
-1.984952,1.352731,1
-1.929109,-1.364434,1
-1.545998,-1.848609,1
-2.815269,-1.741031,1
-3.272825,-2.736819,1
-2.985364,-2.418126,1
-0.185341,-4.367265,1
-1.81374,-4.112716,1
-2.971932,-1.411049,1
-2.43572,-3.577745,1
-3.215304,-1.820402,1
-3.230367,-2.283541,1
-2.454428,-3.1516,1
-0.356056,-1.866081,1
-4.525143,-2.313546,1
-3.161786,-1.647567,1
-3.292521,-2.614736,1
-1.995013,-1.634245,1
-3.700296,-2.834501,1
-2.974945,-3.153329,1
-0.734546,-2.095018,1
-3.760884,-1.582138,1
-0.377844,-1.467535,1
-4.01937,-2.984234,1
-1.233089,-3.207669,1
-2.056181,-1.725366,1
-3.42693,-2.559525,1
-5.741267,-3.524388,1
-2.752568,-3.747783,1
-0.867589,-3.930141,1
-2.940044,-2.369259,1
-1.058727,-3.935862,1
-1.336836,-2.489767,1
-3.481509,-2.037897,1
-2.30094,-3.100217,1
-2.430198,-2.885314,1
-2.386483,-1.837869,1
-0.913983,-3.737815,1
-0.366967,-4.452088,1
-2.651785,-1.911683,1
-2.219008,-3.1227,1
-2.708122,-2.993001,1
-3.089365,-1.650398,1
-2.142985,-3.19291,1
-1.6004,-2.1927,1
-1.687138,-1.870371,1
-3.328995,-3.060181,1
-1.752706,-1.88963,1
-2.520902,-2.382673,1
-1.222335,-3.091571,1
-1.952903,-2.702193,1
-2.717681,-1.401223,1
-1.674584,-1.68649,1
-1.194521,-2.478996,1
-1.818047,-2.810267,1
-2.175834,-2.630143,1
-2.403004,-1.904843,1
-3.318221,-0.407613,1
-3.506017,-3.714189,1
-1.341889,-1.708337,1
-1.87588,-1.871654,1
-2.512247,-3.397254,1
-2.424195,-3.177162,1
-1.52488,-2.647057,1
-3.325497,-2.821386,1
-2.087069,-3.063725,1
-3.32222,-2.256313,1
-2.255033,-3.006943,1
-2.971038,-2.26795,1
-3.948084,-3.907464,1
-3.218444,-2.713447,1
-2.189092,-1.024644,1
-1.64234,-2.659939,1
-2.519016,-3.502529,1
-2.518513,-2.788659,1
-2.177281,-3.327231,1
-1.980653,-0.967261,1
-2.60876,-2.098288,1
-1.809856,-2.90122,1
-2.275908,-2.487408,1
-2.402324,-3.27301,1
-2.47549,-2.002002,1
-1.048856,-1.540729,1
-0.346818,-3.267348,1
-1.627679,-2.316658,1
-0.310197,-3.308298,1
-3.339722,-3.099393,1
-4.623896,-3.025755,1
-3.259133,-2.349606,1
-2.158244,-0.623829,1
-1.549576,-3.076904,1
-3.398415,-2.008081,1
-3.820233,-0.668541,1
-1.32056,-2.969176,1
-4.213135,-1.146128,1
-2.61454,-1.262184,1
